time,pressure
0.000000000000000000e+00,9.995432295549762785e+04
3.474967104832994095e-03,9.995431081438584079e+04
6.949934209665988190e-03,9.995428658717956569e+04
1.389986841933197638e-02,9.995421407070962596e+04
2.084980262899796544e-02,9.995409365052718204e+04
2.779973683866395276e-02,9.995392576771376480e+04
6.885873766719700917e-02,9.995199022873920330e+04
1.099177384957300690e-01,9.994851695327230846e+04
1.409498014945446964e-01,9.994493836473877309e+04
1.719818644933593377e-01,9.994059104678414587e+04
2.030139274921739789e-01,9.993551642383438593e+04
2.340459904909886202e-01,9.992975063943830901e+04
2.650780534898032337e-01,9.992332326580175140e+04
2.961101164886178472e-01,9.991625730518286582e+04
3.271421794874324607e-01,9.990857115562193212e+04
3.663713285588237056e-01,9.989798664695302432e+04
4.056004776302149506e-01,9.988644917706206616e+04
4.448296267016061956e-01,9.987397042697937286e+04
4.840587757729974405e-01,9.986055685424499097e+04
5.202431661066398982e-01,9.984735857288986153e+04
5.236781738800807551e-01,9.984606093177251751e+04
5.271131816535216119e-01,9.984475617493969912e+04
5.339831972004033256e-01,9.984213243091011827e+04
5.408532127472850393e-01,9.983948022827868408e+04
5.477232282941667529e-01,9.983679957130069670e+04
6.066565112166760754e-01,9.981263500586661394e+04
6.655897941391853978e-01,9.978637606674565177e+04
7.245230770616947202e-01,9.975801993273416883e+04
7.834563599842040427e-01,9.972756281719205435e+04
8.558993359490824071e-01,9.968723906226790859e+04
9.283423119139607715e-01,9.964372636851909920e+04
1.000785287878839025e+00,9.959701694182943902e+04
1.073228263843717389e+00,9.954710342425310228e+04
1.145671239808595754e+00,9.949397914848582877e+04
1.164394429109016027e+00,9.947972607062598399e+04
1.183117618409436300e+00,9.946525803314521909e+04
1.201840807709856573e+00,9.945057494825741742e+04
1.220563997010276847e+00,9.943567673211306101e+04
1.251343719481746719e+00,9.941071728123730281e+04
1.282123441953216592e+00,9.938517588108572818e+04
1.312903164424686464e+00,9.935905221685943252e+04
1.343682886896156337e+00,9.933234598905114399e+04
1.361840086987531562e+00,9.931631845952797448e+04
1.379997287078906787e+00,9.930008804307530227e+04
1.398154487170282012e+00,9.928365468104041065e+04
1.444254797351483210e+00,9.924101898300634639e+04
1.490355107532684409e+00,9.919707363356016867e+04
1.536455417713885607e+00,9.915181754913032637e+04
1.582555727895086806e+00,9.910524948467523791e+04
1.635423289966753568e+00,9.905022865883239137e+04
1.688290852038420331e+00,9.899347802504694846e+04
1.741158414110087094e+00,9.893499472947273171e+04
1.794025976181753856e+00,9.887477559022867354e+04
1.846893538253420619e+00,9.881281715939821152e+04
1.871056341944009160e+00,9.878391931722381560e+04
1.895219145634597702e+00,9.875465705277476809e+04
1.919381949325186243e+00,9.872503001707539079e+04
1.943544753015774784e+00,9.869503786188655067e+04
1.955832829759476255e+00,9.867964507751420024e+04
1.968120906503177725e+00,9.866415772915854177e+04
1.980408983246879195e+00,9.864857577212831529e+04
2.022974608921229045e+00,9.859386816065668245e+04
2.065540234595578895e+00,9.853802297114577959e+04
2.108105860269928744e+00,9.848103849391886615e+04
2.150671485944278594e+00,9.842291308364419092e+04
2.193237111618628443e+00,9.836364519059663871e+04
2.228656871067943079e+00,9.831345519043179229e+04
2.264076630517257716e+00,9.826247234722721623e+04
2.299496389966572352e+00,9.821069597229636565e+04
2.334916149415886988e+00,9.815812541692034574e+04
2.385990846460761983e+00,9.808092009659188625e+04
2.437065543505636978e+00,9.800206064211249759e+04
2.488140240550511972e+00,9.792154573091353814e+04
2.539214937595386967e+00,9.783937419466199935e+04
2.590289634640261962e+00,9.775554488202671928e+04
2.641364331685136957e+00,9.767005649025914317e+04
2.692439028730011952e+00,9.758290744297887431e+04
2.743513725774886947e+00,9.749409583560418105e+04
2.758668021659849590e+00,9.746742452302829770e+04
2.773822317544812233e+00,9.744060658280491771e+04
2.788976613429774876e+00,9.741364194854561356e+04
2.804130909314737519e+00,9.738653055191846215e+04
2.818351852970161886e+00,9.736095539566082880e+04
2.832572796625586253e+00,9.733525087848157273e+04
2.846793740281010621e+00,9.730941694131893746e+04
2.892133941862236934e+00,9.722618664508816437e+04
2.920776379170992865e+00,9.717292893210089824e+04
2.949418816479748795e+00,9.711914472142781597e+04
2.978061253788504725e+00,9.706483354151852836e+04
3.006703691097260656e+00,9.700999494430144841e+04
3.023849191534191849e+00,9.697691576061089290e+04
3.040994691971123043e+00,9.694364734994036553e+04
3.058140192408054236e+00,9.691018962987363921e+04
3.067663985030045115e+00,9.689152309661821346e+04
3.077187777652035994e+00,9.687279811564927513e+04
3.086711570274026872e+00,9.685401467453947407e+04
3.101329635091547576e+00,9.682507022138286266e+04
3.115947699909068280e+00,9.679598797119369556e+04
3.130565764726588984e+00,9.676676788397209020e+04
3.154915397296453872e+00,9.671778922593298194e+04
3.179265029866318759e+00,9.666842784715532616e+04
3.203614662436183647e+00,9.661868360386880522e+04
3.227964295006048534e+00,9.656855635976206395e+04
3.239728641170487755e+00,9.654420048738904006e+04
3.251492987334926976e+00,9.651975516903070093e+04
3.263257333499366197e+00,9.649522039115696680e+04
3.300449767166337534e+00,9.641706621189741418e+04
3.337642200833308870e+00,9.633801732585970603e+04
3.374834634500280206e+00,9.625807326542258670e+04
3.412027068167251542e+00,9.617723349707016314e+04
3.449219501834222879e+00,9.609549740539738559e+04
3.486411935501194215e+00,9.601286428800417343e+04
3.523604369168165551e+00,9.592933336042845622e+04
3.564548222679812639e+00,9.583633784904920321e+04
3.605492076191459727e+00,9.574225206343362515e+04
3.646435929703106815e+00,9.564707482293233625e+04
3.687379783214753903e+00,9.555080499630633858e+04
3.728323636726400991e+00,9.545344155121436052e+04
3.756383928802768946e+00,9.538608283130201744e+04
3.784444220879136900e+00,9.531820976189043722e+04
3.812504512955504854e+00,9.524982212209892168e+04
3.840564805031872808e+00,9.518091971285951149e+04
3.873777829745828072e+00,9.509869919660125743e+04
3.906990854459783336e+00,9.501575691511381592e+04
3.940203879173738599e+00,9.493454002709072665e+04
3.973416903887693863e+00,9.485319468063178647e+04
3.981678168367541737e+00,9.483285300542337063e+04
3.989939432847389611e+00,9.481246822054612858e+04
3.998200697327237485e+00,9.479204032025426568e+04
4.004262275173682717e+00,9.477702423072527745e+04
4.010323853020127949e+00,9.476198492401446856e+04
4.016385430866573181e+00,9.474692239782665274e+04
4.025024394125837901e+00,9.472541514647094300e+04
4.033663357385102621e+00,9.470386071989788616e+04
4.042302320644367342e+00,9.468225911016878672e+04
4.057186905567457202e+00,9.464492969895066926e+04
4.072071490490547063e+00,9.460746014589660626e+04
4.086956075413636924e+00,9.456985040796022804e+04
4.115693443675992214e+00,9.449684133942188055e+04
4.144430811938347503e+00,9.442330933212200762e+04
4.173168180200702793e+00,9.434925396510514838e+04
4.201905548463058082e+00,9.427467482121565263e+04
4.212378748296592867e+00,9.424736453286089818e+04
4.222851948130127653e+00,9.421998464092188806e+04
4.233325147963662438e+00,9.419253513079657569e+04
4.247726060686413341e+00,9.415467766112808022e+04
4.262126973409164243e+00,9.411668850261636544e+04
4.276527886131915146e+00,9.407856762128125411e+04
4.282823872753819039e+00,9.406186002636181365e+04
4.289119859375722932e+00,9.404512724528205581e+04
4.295415845997626825e+00,9.402836927546872175e+04
4.306201269325378611e+00,9.399960327109592617e+04
4.316986692653130397e+00,9.397076332854376233e+04
4.327772115980882184e+00,9.394184943582539563e+04
4.349175493133635939e+00,9.388425156866833277e+04
4.370578870286389694e+00,9.382636234519747086e+04
4.391982247439143450e+00,9.376818168366566533e+04
4.434718002902588552e+00,9.365114117284296663e+04
4.477453758366033654e+00,9.353293783088916098e+04
4.520189513829478756e+00,9.341357103062927490e+04
4.562925269292923858e+00,9.329304006371338619e+04
4.588003659267211987e+00,9.322176717724768969e+04
4.613082049241500115e+00,9.315009294811722066e+04
4.638160439215788244e+00,9.307801719584358216e+04
4.686360846363035293e+00,9.293836024802303291e+04
4.710306473240660985e+00,9.286842751773161581e+04
4.734252100118286677e+00,9.279812808565830346e+04
4.758197726995912369e+00,9.272746180269506294e+04
4.782143353873538061e+00,9.265642853253237263e+04
4.816926370373900923e+00,9.255259280445822515e+04
4.844178864091045256e+00,9.247125055727956351e+04
4.871431357808189588e+00,9.239043656990825548e+04
4.898683851525333921e+00,9.230915562399486953e+04
4.942128137087375528e+00,9.217861662351519044e+04
4.946806657164581900e+00,9.216448115899409459e+04
4.947143005101968249e+00,9.216346486168603587e+04
4.947479353039354599e+00,9.216244849319681816e+04
4.948152048914126411e+00,9.216041561385555542e+04
4.948824744788898222e+00,9.215838244978766306e+04
4.949497440663670034e+00,9.215634900099111837e+04
4.949881605033579213e+00,9.215518756123272760e+04
4.949977985673126746e+00,9.215489616889941681e+04
4.949987640747759876e+00,9.215486697817820823e+04
4.949997295822393006e+00,9.215483778739835543e+04
4.950016605971658379e+00,9.215477940579522692e+04
4.950035916120923751e+00,9.215472102417921997e+04
4.950055226270189124e+00,9.215466264262424374e+04
4.950248327762843736e+00,9.215407883043114271e+04
4.950441429255498349e+00,9.215349502434098395e+04
4.950634530748152962e+00,9.215291122435373836e+04
4.952565545674696423e+00,9.214707356012589298e+04
4.971875694940134593e+00,9.208873046291440551e+04
4.991185844205572764e+00,9.203044833034138719e+04
5.010495993471010934e+00,9.197222711127897492e+04
5.036398103496491530e+00,9.189422629076759040e+04
5.056207290521356867e+00,9.183464732630139042e+04
5.076016477546222205e+00,9.177513226140967163e+04
5.095825664571087543e+00,9.171568103035012609e+04
5.129225264583927135e+00,9.161558671582142415e+04
5.162624864596766727e+00,9.151567339371614798e+04
5.189670651861543860e+00,9.143489959583754535e+04
5.216716439126320992e+00,9.135424411004396097e+04
5.243762226391098125e+00,9.127370679183880566e+04
5.270808013655875257e+00,9.119328750291635515e+04
5.305983147408582568e+00,9.108887236765447597e+04
5.341158281161289878e+00,9.098465636732554412e+04
5.376333414913997188e+00,9.088063922145131801e+04
5.411508548666704499e+00,9.077682064379034273e+04
5.446683682419411809e+00,9.067320033592345135e+04
5.481858816172119120e+00,9.056977798606287979e+04
5.517033949924826430e+00,9.046655327159202716e+04
5.552209083677533741e+00,9.036352586387380143e+04
5.587384217430241051e+00,9.026069543400002294e+04
5.622559351182948362e+00,9.015806165820000751e+04
5.657734484935655672e+00,9.005562422377341136e+04
5.698846855192882366e+00,8.993813977915693249e+04
5.732595581866729795e+00,8.984331814667998697e+04
5.766344308540577224e+00,8.974867071985804068e+04
5.800093035214424653e+00,8.965419721683103126e+04
5.833841761888272082e+00,8.955989737744264130e+04
5.867590488562119511e+00,8.946577097190369386e+04
5.901339215235966940e+00,8.937181779425941932e+04
5.935087941909814369e+00,8.927803764816452167e+04
5.968836668583661798e+00,8.918443033402871515e+04
6.002585395257509226e+00,8.909099564104399178e+04
6.036334121931356655e+00,8.899773334333844832e+04
6.070082848605204084e+00,8.890464319905109005e+04
6.117954859488964559e+00,8.877289116032391030e+04
6.165826870372725033e+00,8.864148423680794076e+04
6.213698881256485507e+00,8.851042166232285672e+04
6.261570892140245981e+00,8.837970269710877619e+04
6.309442903024006455e+00,8.824932665124848427e+04
6.357314913907766929e+00,8.811929288841591915e+04
6.405186924791527403e+00,8.798960080968437251e+04
6.453058935675287877e+00,8.786024982570964494e+04
6.500930946559048351e+00,8.773123932958600926e+04
6.548802957442808825e+00,8.760256868096176186e+04
6.596674968326569299e+00,8.747423720623301051e+04
6.651754489460157238e+00,8.732700312923417368e+04
6.696405492434079676e+00,8.720797384406146011e+04
6.741056495408002114e+00,8.708923779299085436e+04
6.785707498381924552e+00,8.697079446015048597e+04
6.830358501355846990e+00,8.685264335308982118e+04
6.875009504329769427e+00,8.673478399476000050e+04
6.919660507303691865e+00,8.661721591219863330e+04
6.964311510277614303e+00,8.649993862634683319e+04
7.008962513251536741e+00,8.638295164608184132e+04
7.063418435023699260e+00,8.624066767655928561e+04
7.117874356795861779e+00,8.609881382988752739e+04
7.172330278568024298e+00,8.595738917644454341e+04
7.226786200340186817e+00,8.581639280261511158e+04
7.281242122112349335e+00,8.567582382259686710e+04
7.335698043884511854e+00,8.553568137975357240e+04
7.390153965656674373e+00,8.539596463765147200e+04
7.444609887428836892e+00,8.525667276560836763e+04
7.507388720555784545e+00,8.509661800102390407e+04
7.570167553682732198e+00,8.494027051686408231e+04
7.577315223854654391e+00,8.492305366672940727e+04
7.584462894026576585e+00,8.490584372690544114e+04
7.591610564198498778e+00,8.488864069681045657e+04
7.605905904542344054e+00,8.485425536309411109e+04
7.620201244886189329e+00,8.481989765927188273e+04
7.634496585230034604e+00,8.478556757774644939e+04
7.648791925573879880e+00,8.475126511001016479e+04
7.678780871642169714e+00,8.467939463892257481e+04
7.708769817710459549e+00,8.460764553826498741e+04
7.738758763778749383e+00,8.453601767168128572e+04
7.768747709847039218e+00,8.446451087751990417e+04
7.798736655915329052e+00,8.439312497538836033e+04
7.841206021709242080e+00,8.429223704797943356e+04
7.883675387503155108e+00,8.419159063764926395e+04
7.926144753297068135e+00,8.409118522469628078e+04
7.968614119090981163e+00,8.399102035169652663e+04
8.011083484884894190e+00,8.389109563343570335e+04
8.053552850678807218e+00,8.379141075281761005e+04
8.096022216472720245e+00,8.369196544350673503e+04
8.138491582266633273e+00,8.359275946258702606e+04
8.180960948060546301e+00,8.349379256092237483e+04
8.251579068156580377e+00,8.332975878461610409e+04
8.261262543967887950e+00,8.330731712371000322e+04
8.270946019779195524e+00,8.328488784403455793e+04
8.280629495590503097e+00,8.326247094121432747e+04
8.290312971401810671e+00,8.324006641053743078e+04
8.299996447213118245e+00,8.321767424713641230e+04
8.309679923024425818e+00,8.319529444613911619e+04
8.329046874647040966e+00,8.315057191141309158e+04
8.348413826269656113e+00,8.310589876665869087e+04
8.367780777892271260e+00,8.306127497175725875e+04
8.387147729514886407e+00,8.301670048613545077e+04
8.406514681137501555e+00,8.297217526921599347e+04
8.425881632760116702e+00,8.292769928099762183e+04
8.469371377708892368e+00,8.282800475885742344e+04
8.512861122657668034e+00,8.272855785843744525e+04
8.556350867606443700e+00,8.262935819580352108e+04
8.599840612555219366e+00,8.253040542259260837e+04
8.643330357503995032e+00,8.243169921745508327e+04
8.686820102452770698e+00,8.233323927367464057e+04
8.742507737176582694e+00,8.220752260839326482e+04
8.798195371900394690e+00,8.208220855303683493e+04
8.853883006624206686e+00,8.195729639568830316e+04
8.909570641348018682e+00,8.183278536819027795e+04
8.965258276071830679e+00,8.170867466447348124e+04
9.020945910795642675e+00,8.158496346975416236e+04
9.076633545519454671e+00,8.146165098933913396e+04
9.132321180243266667e+00,8.133873646881745663e+04
9.188008814967078663e+00,8.121621919943179819e+04
9.260528016574445687e+00,8.105726552007001010e+04
9.314317000629475984e+00,8.093979987561557209e+04
9.368105984684506282e+00,8.082270284649709356e+04
9.421894968739536580e+00,8.070597382190410281e+04
9.475683952794566878e+00,8.058961217102230876e+04
9.529472936849597176e+00,8.047361724670282274e+04
9.594167209499774529e+00,8.033459014287358150e+04
9.658861482149951883e+00,8.019609147583953745e+04
9.723555754800129236e+00,8.005812015430684551e+04
9.776101930489584646e+00,7.995069642604514956e+04
9.786367824272247162e+00,7.993064802268795029e+04
9.796633718054909679e+00,7.991061178924920387e+04
9.806899611837572195e+00,7.989058771967215580e+04
9.827431399402895451e+00,7.985057605183363194e+04
9.847963186968218707e+00,7.981061297336082498e+04
9.868494974533541964e+00,7.977069843844014395e+04
9.889026762098865220e+00,7.973083240695706627e+04
9.922003885381757371e+00,7.966690301914588781e+04
9.954981008664649522e+00,7.960309853061370086e+04
9.987958131947541673e+00,7.953941883461391262e+04
1.002093525523043382e+01,7.947586384311947040e+04
1.005391237851332598e+01,7.941243348139086447e+04
1.009357267933017610e+01,7.933631323940253060e+04
1.013323298014702623e+01,7.926037305506385746e+04
1.017289328096387635e+01,7.918461281091174169e+04
1.021255358178072647e+01,7.910903236921310599e+04
1.025221388259757660e+01,7.903363156353340310e+04
1.029959490916657749e+01,7.894378759502497269e+04
1.034697593573557839e+01,7.885419933437759755e+04
1.039435696230457928e+01,7.876486634354054695e+04
1.044173798887358018e+01,7.867578816130493942e+04
