time,pressure
1.048911901544258107e+01,7.858696432950221060e+04
1.054908380892875108e+01,7.847491405570719508e+04
1.060904860241492109e+01,7.836326970587775577e+04
1.065618651784739868e+01,7.827579138330160640e+04
1.070332443327987626e+01,7.818856322483632539e+04
1.075046234871235384e+01,7.810158497838806943e+04
1.079760026414483143e+01,7.801485639608112979e+04
1.084473817957730901e+01,7.792837722261554154e+04
1.089187609500978660e+01,7.784214718550140969e+04
1.095752393535786418e+01,7.772247121257058461e+04
1.102317177570594176e+01,7.760327698345371755e+04
1.108881961605401933e+01,7.748456353569132625e+04
1.115446745640209691e+01,7.736632987998626777e+04
1.122011529675017449e+01,7.724857505371750449e+04
1.128576313709825207e+01,7.713129816151858540e+04
1.135141097744632965e+01,7.701449838991598517e+04
1.141705881779440723e+01,7.689817499480400875e+04
1.148270665814248481e+01,7.678232726959351567e+04
1.154835449849056239e+01,7.666695450647899997e+04
1.161400233883863997e+01,7.655205596636614064e+04
1.167965017918671755e+01,7.643763086654087238e+04
1.174529801953479513e+01,7.632367838585008576e+04
1.181094585988287271e+01,7.621019768159493105e+04
1.187659370023095029e+01,7.609718791115509521e+04
1.196351425203952168e+01,7.594828129910677671e+04
1.205043480384809307e+01,7.580019701644948509e+04
1.213735535565666446e+01,7.565293335590881179e+04
1.222427590746523585e+01,7.550648868628962373e+04
1.231119645927380724e+01,7.536086138717894210e+04
1.239811701108237862e+01,7.521604979487982928e+04
1.248503756289095001e+01,7.507205219005883555e+04
1.257195811469952140e+01,7.492886682735366048e+04
1.265887866650809279e+01,7.478649198120886285e+04
1.274579921831666418e+01,7.464492597831838066e+04
1.283271977012523557e+01,7.450416720279866422e+04
1.291964032193380696e+01,7.436421407972020097e+04
1.300656087374237835e+01,7.422506505222557462e+04
1.309348142555094974e+01,7.408671856484060118e+04
1.318040197735952113e+01,7.394917305738147115e+04
1.329548292516678742e+01,7.376829536034798366e+04
1.341056387297405372e+01,7.358881537085834134e+04
1.352564482078132002e+01,7.341072952615308168e+04
1.364072576858858632e+01,7.323403434058769199e+04
1.375580671639585262e+01,7.305872641091600235e+04
1.388884428185032860e+01,7.285778881860454567e+04
1.402188184730480458e+01,7.265869560844262014e+04
1.415491941275928056e+01,7.246144171260396251e+04
1.428795697821375654e+01,7.226602209319532267e+04
1.442099454366823252e+01,7.207243178530213481e+04
1.444760205675912701e+01,7.203393280966783641e+04
1.447420956985002150e+01,7.199550677435759280e+04
1.450081708294091598e+01,7.195715364283040981e+04
1.452742459603181047e+01,7.191887337824917631e+04
1.458063962221360121e+01,7.184253130190358206e+04
1.463385464839539196e+01,7.176648024999746121e+04
1.468706967457718271e+01,7.169071992757974658e+04
1.474028470075897346e+01,7.161525003988339449e+04
1.486784368183144700e+01,7.143552581228986674e+04
1.499540266290392054e+01,7.125746461998819723e+04
1.512296164397639409e+01,7.108106241590905120e+04
1.525052062504886763e+01,7.090631520081860072e+04
1.537807960612134117e+01,7.073321906349330675e+04
1.551948013123712933e+01,7.054326503660317394e+04
1.566088065635291748e+01,7.035533012014909764e+04
1.568643511627645459e+01,7.032158082145715889e+04
1.571198957619999170e+01,7.028789727672722074e+04
1.573754403612352881e+01,7.025427945591135358e+04
1.576309849604706592e+01,7.022072732937701221e+04
1.578865295597060303e+01,7.018724086763522064e+04
1.583976187581767725e+01,7.012046482025299338e+04
1.589087079566475147e+01,7.005395107806083979e+04
1.594197971551182569e+01,6.998913058470500982e+04
1.599308863535889991e+01,6.993081869133027794e+04
1.605802482465272618e+01,6.985706414395254978e+04
1.610906677694209677e+01,6.979935234282760939e+04
1.616010872923146735e+01,6.974187064762105001e+04
1.621115068152083794e+01,6.968461886419844814e+04
1.627351930903823884e+01,6.961497417898870481e+04
1.633588793655563975e+01,6.954567212103631755e+04
1.639825656407304066e+01,6.947671234928822378e+04
1.646062519159044157e+01,6.940809452286623127e+04
1.651139043708782239e+01,6.935249493825384707e+04
1.656215568258520321e+01,6.929712149787592352e+04
1.661292092808258403e+01,6.924197401734661253e+04
1.669208342992096661e+01,6.915642848453542683e+04
1.677124593175934919e+01,6.907143133399085491e+04
1.685040843359773177e+01,6.898698182916746009e+04
1.692957093543611435e+01,6.890307928360352525e+04
1.702269885141595651e+01,6.880507440304188640e+04
1.711582676739579867e+01,6.870782446067937417e+04
1.720895468337564083e+01,6.861132837961666519e+04
1.730208259935548298e+01,6.851558509048316046e+04
1.739521051533532514e+01,6.842059354000128224e+04
1.748833843131516730e+01,6.832635269720242650e+04
1.758146634729500946e+01,6.823286155138564936e+04
1.767459426327485161e+01,6.814011910560056276e+04
1.777795378990721176e+01,6.803806280370411696e+04
1.788131331653957190e+01,6.793692619166469376e+04
1.798467284317193204e+01,6.783670793134407722e+04
1.808803236980429219e+01,6.773740669217526738e+04
1.819139189643665233e+01,6.763902115462310030e+04
1.829475142306901247e+01,6.754155001261795405e+04
1.847758978364132076e+01,6.737136340423258662e+04
1.862396957378057749e+01,6.723716731357695244e+04
1.877034936391983422e+01,6.710479461220794474e+04
1.891672915405909094e+01,6.697424185396352550e+04
1.906310894419834767e+01,6.684550564275149372e+04
1.920948873433760440e+01,6.671858262140541046e+04
1.935586852447686113e+01,6.659346947289760283e+04
1.950224831461611785e+01,6.647016292864372372e+04
1.964862810475537458e+01,6.634865977647775435e+04
1.979500789489463131e+01,6.622895686246748664e+04
1.995724979897986273e+01,6.609838228616987180e+04
2.011949170306509416e+01,6.597001128299438278e+04
2.028173360715032558e+01,6.584383977169566788e+04
2.044397551123555701e+01,6.571986374236717529e+04
2.060621741532078843e+01,6.559807925738651829e+04
2.081295916885528285e+01,6.544606114499474643e+04
2.101970092238977728e+01,6.529758757629889442e+04
2.122644267592427170e+01,6.515265097577301640e+04
2.143318442945876612e+01,6.501124395844782703e+04
2.163992618299326054e+01,6.487335929431475233e+04
2.184666793652775496e+01,6.473898990159403183e+04
2.205340969006224938e+01,6.460812885383865796e+04
2.226015144359674380e+01,6.448076938882262039e+04
2.246689319713123822e+01,6.435690490213734302e+04
2.267363495066573265e+01,6.423652892908980721e+04
2.288037670420022707e+01,6.411963513243811030e+04
2.308711845773472149e+01,6.400621730397896317e+04
2.331463266138977275e+01,6.388541391823793674e+04
2.354214686504482401e+01,6.376880483628317597e+04
2.376966106869987527e+01,6.365638234302002820e+04
2.399717527235492653e+01,6.354813889833744906e+04
2.422468947600997780e+01,6.344406712791500468e+04
2.445220367966502906e+01,6.334415981846851355e+04
2.473387786881134076e+01,6.322622842439648230e+04
2.501555205795765247e+01,6.311465634256162593e+04
2.529722624710396417e+01,6.300943091945777996e+04
2.557890043625027587e+01,6.291053986409003119e+04
2.586057462539658758e+01,6.281797118991237949e+04
2.614224881454289928e+01,6.273171318371513189e+04
2.649362198462399576e+01,6.263293993541618693e+04
2.684499515470509223e+01,6.254394770096763386e+04
2.719636832478618871e+01,6.246471601053424092e+04
2.754774149486728518e+01,6.239522552514408017e+04
2.789911466494838166e+01,6.233545830784625286e+04
2.825048783502947813e+01,6.228539820076711476e+04
2.860186100511057461e+01,6.224503131494378613e+04
2.895323417519167108e+01,6.221434660977048770e+04
2.930460734527276756e+01,6.219333649865996267e+04
2.965598051535386404e+01,6.218199737593095779e+04
2.989221950755204205e+01,6.217981072140602191e+04
2.990000000000000213e+01,6.217981308012400405e+04
2.991406562496792176e+01,6.217983713531981630e+04
2.992813124993584140e+01,6.217987669375941914e+04
2.995626249987167711e+01,6.217998681792597199e+04
2.998439374980751282e+01,6.218015895826843916e+04
3.001252499974334853e+01,6.218039311807634658e+04
3.019505543358427246e+01,6.218341947076224460e+04
3.037758586742519640e+01,6.218905815598132176e+04
3.056011630126612033e+01,6.219731044873559586e+04
3.074264673510704426e+01,6.220817777609986661e+04
3.090000000000000213e+01,6.221964611810729548e+04
3.091727689169276516e+01,6.222102497344109725e+04
3.093455378338552819e+01,6.222241667848753423e+04
3.096910756677105070e+01,6.222522572174166271e+04
3.100366135015657321e+01,6.222808590001554694e+04
3.103821513354209571e+01,6.223099695287550276e+04
3.126708923363669967e+01,6.225154602547721879e+04
3.149596333373130363e+01,6.227424552477648103e+04
3.172483743382590760e+01,6.229903144056140445e+04
3.195371153392051156e+01,6.232584356030890194e+04
3.230262335581448951e+01,6.237048769707666361e+04
3.265153517770846747e+01,6.241951366686796973e+04
3.300044699960244543e+01,6.247273113499383908e+04
3.334935882149642339e+01,6.252995026856529876e+04
3.369827064339040135e+01,6.259097948071111750e+04
3.425680099747879126e+01,6.269611843900910026e+04
3.481533135156718117e+01,6.280971180840076704e+04
3.537386170565557109e+01,6.293094010358854575e+04
3.593239205974396100e+01,6.305899001656314067e+04
3.649092241383235091e+01,6.319307061040389090e+04
3.721408820737426026e+01,6.337440987795612455e+04
3.793725400091616962e+01,6.356309052509556932e+04
3.866041979445807897e+01,6.375776930647643167e+04
3.938358558799998832e+01,6.395727917313683429e+04
4.010675138154189767e+01,6.416062676714666304e+04
4.082991717508380702e+01,6.436698198048971972e+04
4.155308296862571638e+01,6.457566110776754067e+04
4.227624876216762573e+01,6.478610798808503750e+04
4.340824477727041852e+01,6.511803645509895432e+04
4.454024079237321132e+01,6.545193492576169956e+04
4.567223680747600412e+01,6.578691057501554315e+04
4.680423282257879691e+01,6.612235555326506437e+04
4.793622883768158971e+01,6.645786319599402486e+04
4.902958461325174255e+01,6.678172479937733442e+04
5.012294038882189540e+01,6.710523374037149188e+04
5.121629616439204824e+01,6.742828630905153113e+04
5.230965193996220108e+01,6.775081569740423583e+04
5.340300771553235393e+01,6.807277974477582029e+04
5.478366813739898333e+01,6.847850119301160157e+04
5.616432855926561274e+01,6.888325458493936458e+04
5.754498898113224215e+01,6.928702788249190780e+04
5.892564940299887155e+01,6.968981919794750866e+04
6.030630982486550096e+01,7.010369415886519710e+04
6.101720608561002024e+01,7.033738825038919458e+04
6.172810234635453952e+01,7.057077520462908433e+04
6.243899860709905880e+01,7.080384459144169523e+04
6.314989486784357808e+01,7.103658997316403838e+04
6.388149003955661698e+01,7.127577068103991041e+04
6.461308521126964877e+01,7.151460298509895802e+04
6.534468038298268766e+01,7.175308545763749862e+04
6.725119956019577216e+01,7.237292044173613249e+04
6.915771873740885667e+01,7.299038497849491250e+04
7.106423791462194117e+01,7.360550618963190936e+04
7.297075709183502568e+01,7.421831864564077114e+04
7.559347251205829821e+01,7.505761837040417595e+04
7.821618793228157074e+01,7.589268216788134305e+04
8.083890335250484327e+01,7.672359821902441035e+04
8.346161877272811580e+01,7.755045311222921009e+04
8.542344054238148487e+01,7.816634209801365796e+04
8.738526231203485395e+01,7.878002986273614806e+04
8.934708408168822302e+01,7.939154933259742393e+04
9.006116940021729533e+01,7.961360424775267893e+04
9.077525471874636764e+01,7.983537766226605163e+04
9.148934003727543995e+01,8.006177561145064828e+04
9.197950977514042847e+01,8.022675208870656206e+04
9.246967951300541699e+01,8.039158437721656810e+04
9.295984925087040551e+01,8.055627149480098160e+04
9.394018872660036834e+01,8.088520690955274040e+04
9.492052820233033117e+01,8.121355164321123448e+04
9.590086767806029400e+01,8.154130201409917208e+04
9.688120715379025683e+01,8.186845654066930001e+04
9.834823046967900950e+01,8.235691332613411942e+04
9.981525378556776218e+01,8.284404339262311987e+04
1.012822771014565149e+02,8.332985831880176556e+04
1.027493004173452675e+02,8.381437185689223406e+04
1.046974356721013493e+02,8.445579516166291432e+04
1.058635166074899274e+02,8.483865573770037736e+04
1.060967327945676431e+02,8.491513243531087937e+04
1.063299489816453587e+02,8.499157744633649418e+04
1.065631651687230743e+02,8.507157084024290089e+04
1.068604749240119389e+02,8.517406602801250119e+04
1.071577846793008035e+02,8.527650828729438945e+04
1.074550944345896681e+02,8.537889815587831254e+04
1.084450048955513353e+02,8.571943797454037121e+04
1.094349153565130024e+02,8.605941170077660354e+04
1.104248258174746695e+02,8.639882307613143348e+04
1.114147362784363366e+02,8.673767374287305574e+04
1.128376043086956457e+02,8.722374986196422833e+04
1.142604723389549548e+02,8.770867823644321470e+04
1.156833403692142639e+02,8.819246612504831864e+04
1.171062083994735730e+02,8.867512346520241408e+04
1.185290764297328820e+02,8.915665983758284710e+04
1.205665962512859863e+02,8.984427840125314833e+04
1.211673734360759624e+02,9.004810043744502764e+04
1.217681506208659385e+02,9.025674650217054295e+04
1.223689278056559147e+02,9.046520021105407795e+04
1.229697049904458908e+02,9.067346824188870960e+04
1.235965795488819481e+02,9.089059093981813930e+04
1.242234541073180054e+02,9.110752016189828282e+04
1.248503286657540627e+02,9.132425900844584976e+04
1.261842128754046115e+02,9.178481903040302859e+04
1.275180970850551603e+02,9.224454579959224793e+04
1.288519812947056948e+02,9.270737267149268882e+04
1.301858655043562294e+02,9.317429358518410299e+04
1.321481256879778243e+02,9.385967645673164225e+04
1.341103858715994193e+02,9.454329106151239830e+04
1.350000000000000000e+02,9.485263711409916868e+04
1.350471823638775390e+02,9.486903330683344393e+04
1.350943647277550781e+02,9.488542849337399821e+04
1.360000000000000000e+02,9.520741331140791590e+04
1.360011919998995040e+02,9.520784044318312954e+04
1.360023839997990081e+02,9.520826554461907654e+04
1.360047679995980161e+02,9.520911172698345035e+04
1.360071519993970242e+02,9.520994994812909863e+04
1.360095359991960322e+02,9.521078036514202540e+04
1.360227058009902805e+02,9.521523346074573055e+04
1.360358756027845288e+02,9.521947647656765184e+04
1.360490454045787772e+02,9.522352938690593874e+04
1.360622152063730255e+02,9.522740962360301637e+04
1.360822637306943363e+02,9.523301898652708041e+04
1.361023122550156472e+02,9.523830850564931461e+04
1.361223607793369581e+02,9.524331585042813094e+04
1.361424093036582690e+02,9.524807288403391431e+04
1.361624578279795799e+02,9.525260634962590120e+04
1.361959731037924257e+02,9.525974665422417456e+04
1.362294883796052716e+02,9.526641237921145512e+04
1.362630036554181174e+02,9.527267373710505490e+04
1.362965189312309633e+02,9.527858636953987298e+04
1.363300342070438091e+02,9.528419599121631472e+04
1.363635494828566550e+02,9.528954052681109169e+04
1.364181854650568653e+02,9.529776468948196271e+04
1.364728214472570755e+02,9.530547742083862249e+04
1.365274574294572858e+02,9.531276451017869113e+04
1.365820934116574961e+02,9.531969363611211884e+04
1.366367293938577063e+02,9.532631924138020258e+04
1.366913653760579166e+02,9.533268556673591956e+04
1.367847205138329798e+02,9.534306443270505406e+04
1.368780756516080430e+02,9.535293333452114894e+04
1.369714307893831062e+02,9.536239887221483514e+04
1.370647859271581694e+02,9.537154215219127946e+04
1.371581410649332327e+02,9.538042628433325444e+04
1.372514962027082959e+02,9.538910055601611384e+04
1.373918863462194224e+02,9.540183377235270746e+04
1.375322764897305490e+02,9.541428070245549316e+04
1.376726666332416755e+02,9.542651398523944954e+04
1.378130567767528021e+02,9.543858751245705935e+04
1.379534469202639286e+02,9.545054127783182776e+04
1.381648272243058670e+02,9.546837681254283234e+04
1.383762075283478055e+02,9.548607611257181270e+04
1.385875878323897439e+02,9.550368621839850675e+04
1.387989681364316823e+02,9.552123758980366983e+04
1.390103484404736207e+02,9.553874957268573053e+04
1.392857203312460683e+02,9.556152471965180303e+04
1.395610922220185159e+02,9.558427305143275589e+04
1.398364641127909636e+02,9.560700526150452788e+04
1.401118360035634112e+02,9.562972683681530179e+04
1.404043289667210672e+02,9.565385357576789102e+04
1.406968219298787233e+02,9.567797472558311711e+04
1.409893148930363793e+02,9.570209197049264912e+04
1.412822899688123357e+02,9.572624594348338724e+04
1.415752650445882921e+02,9.575039726016888744e+04
1.418682401203642485e+02,9.577454611991472484e+04
1.421612142346610028e+02,9.579869257593229122e+04
1.424541883489577572e+02,9.582283678905952547e+04
1.440917565048988251e+02,9.595775018633434956e+04
1.457293246608398931e+02,9.609259654760378180e+04
1.473668928167809611e+02,9.622737635436438723e+04
1.523587873957011709e+02,9.663782502158301941e+04
1.573506819746213807e+02,9.704766043077029462e+04
1.623425765535415906e+02,9.745688601783807098e+04
1.748362202084632600e+02,9.847843857975531137e+04
1.873298638633849009e+02,9.949624640110615292e+04
1.889922441337384100e+02,9.963139498112148431e+04
1.906546244040919191e+02,9.976647842267849774e+04
1.923170046744454282e+02,9.990149683354700392e+04
1.929676079117876384e+02,9.995432371197981411e+04
